timestamp,window_index,decision,t_exec_local_ms,t_exec_remote_ms,t_net_ms,e_crypto_ms,c_local,c_offload,l_star_ms
1775051829.6195111,52,LOCAL,5.64,5.0,150.0,139.74,35.0,794.74,-609.74
1775051829.766283,53,LOCAL,3.4,5.0,150.0,139.37,29.13,794.37,-615.24
1775051829.915061,54,LOCAL,2.67,5.0,150.0,139.58,23.98,794.58,-620.6
1775051830.0580962,56,LOCAL,3.0,5.0,150.0,139.86,19.72,794.86,-625.14
1775051830.2060301,57,LOCAL,3.71,5.0,150.0,139.54,16.38,794.54,-628.16
1775051830.355892,58,LOCAL,2.73,5.0,150.0,140.11,13.84,795.11,-631.26
1775051830.500685,59,LOCAL,3.31,5.0,150.0,139.82,11.62,794.82,-633.2
1775051830.650346,60,LOCAL,3.73,5.0,150.0,139.54,9.96,794.54,-634.59
1775051830.800323,61,LOCAL,3.64,5.0,150.0,139.44,8.71,794.44,-635.73
1775051830.951725,62,LOCAL,3.55,5.0,150.0,140.1,7.7,795.1,-637.41
1775051831.101256,63,LOCAL,2.67,5.0,150.0,139.9,6.87,794.9,-638.04
1775051831.2644281,65,LOCAL,3.14,5.0,150.0,139.51,6.03,794.51,-638.48
1775051831.411059,66,LOCAL,3.03,5.0,150.0,139.66,5.45,794.66,-639.2
1775051831.5579782,67,LOCAL,3.6,5.0,150.0,139.58,4.97,794.58,-639.61
1775051831.707646,68,LOCAL,3.66,5.0,150.0,139.48,4.69,794.48,-639.78
1775051831.856569,69,LOCAL,3.69,5.0,150.0,139.78,4.49,794.78,-640.29
1775051832.0064619,70,LOCAL,3.58,5.0,150.0,140.08,4.33,795.08,-640.75
1775051832.156333,71,LOCAL,3.31,5.0,150.0,139.74,4.18,794.74,-640.56
1775051832.304516,72,LOCAL,3.27,5.0,150.0,139.37,4.0,794.37,-640.37
1775051832.4511712,74,LOCAL,3.28,5.0,150.0,139.89,3.86,794.89,-641.04
1775051832.599181,75,LOCAL,3.47,5.0,150.0,139.86,3.74,794.86,-641.11
1775051832.74863,76,LOCAL,3.44,5.0,150.0,139.54,3.69,794.54,-640.85
1775051832.8976781,77,LOCAL,3.48,5.0,150.0,140.11,3.64,795.11,-641.47
1775051833.048063,78,LOCAL,3.55,5.0,150.0,139.82,3.61,794.82,-641.22
1775051833.198407,79,LOCAL,3.24,5.0,150.0,139.54,3.6,794.54,-640.95
1775051833.346217,80,LOCAL,2.79,5.0,150.0,139.44,3.53,794.44,-640.91
1775051833.491182,82,LOCAL,3.13,5.0,150.0,139.9,3.38,794.9,-641.53
1775051833.6382809,83,LOCAL,3.57,5.0,150.0,139.8,3.33,794.8,-641.47
1775051833.7874649,84,LOCAL,3.49,5.0,150.0,139.51,3.38,794.51,-641.14
1775051833.937696,85,LOCAL,3.48,5.0,150.0,139.66,3.4,794.66,-641.26
1775051834.0882041,86,LOCAL,3.5,5.0,150.0,139.58,3.42,794.58,-641.16
1775051834.238615,87,LOCAL,3.25,5.0,150.0,139.48,3.43,794.48,-641.05
1775051834.385783,88,LOCAL,3.21,5.0,150.0,139.78,3.39,794.78,-641.38
1775051834.533076,89,LOCAL,2.47,5.0,150.0,140.08,3.36,795.08,-641.72
1775051834.6762009,91,LOCAL,3.13,5.0,150.0,139.37,3.18,794.37,-641.19
1775051834.823616,92,LOCAL,3.25,5.0,150.0,139.58,3.17,794.58,-641.41
1775051834.972594,93,LOCAL,3.58,5.0,150.0,139.89,3.19,794.89,-641.71
1775051835.122522,94,LOCAL,3.78,5.0,150.0,139.86,3.26,794.86,-641.59
1775051835.272396,95,LOCAL,3.02,5.0,150.0,139.54,3.37,794.54,-641.17
1775051835.420769,96,LOCAL,3.29,5.0,150.0,140.11,3.3,795.11,-641.81
1775051835.569899,97,LOCAL,3.58,5.0,150.0,139.82,3.3,794.82,-641.53
1775051835.719607,98,LOCAL,3.0,5.0,150.0,139.54,3.35,794.54,-641.19
1775051835.864483,100,LOCAL,2.77,5.0,150.0,140.1,3.28,795.1,-641.82
1775051836.0089228,101,LOCAL,3.2,5.0,150.0,139.9,3.18,794.9,-641.72
1775051836.15743,102,LOCAL,3.26,5.0,150.0,139.8,3.18,794.8,-641.61
1775051836.306239,103,LOCAL,3.58,5.0,150.0,139.51,3.2,794.51,-641.31
1775051836.463661,104,LOCAL,7.86,5.0,150.0,139.66,3.27,794.66,-641.38
1775051836.621294,105,LOCAL,2.98,5.0,150.0,139.58,4.19,794.58,-640.38
1775051836.767933,106,LOCAL,3.06,5.0,150.0,139.48,3.95,794.48,-640.53
1775051836.9154549,107,LOCAL,2.92,5.0,150.0,139.78,3.77,794.78,-641.01
1775051837.061103,109,LOCAL,2.68,5.0,150.0,139.74,3.6,794.74,-641.14
1775051837.204708,110,LOCAL,3.03,5.0,150.0,139.37,3.42,794.37,-640.95
1775051837.352688,111,LOCAL,3.51,5.0,150.0,139.58,3.34,794.58,-641.24
1775051837.502244,112,LOCAL,3.42,5.0,150.0,139.89,3.37,794.89,-641.52
1775051837.651087,113,LOCAL,3.16,5.0,150.0,139.86,3.38,794.86,-641.47
1775051837.7979531,114,LOCAL,3.28,5.0,150.0,139.54,3.34,794.54,-641.2
1775051837.9460301,115,LOCAL,3.07,5.0,150.0,140.11,3.33,795.11,-641.78
1775051838.09954,117,LOCAL,3.0,5.0,150.0,139.54,3.28,794.54,-641.27
1775051838.246051,118,LOCAL,3.05,5.0,150.0,139.44,3.22,794.44,-641.22
1775051838.393538,119,LOCAL,3.41,5.0,150.0,140.1,3.19,795.1,-641.92
1775051838.5428638,120,LOCAL,3.65,5.0,150.0,139.9,3.23,794.9,-641.67
1775051838.692101,121,LOCAL,3.29,5.0,150.0,139.8,3.31,794.8,-641.48
1775051838.8404322,122,LOCAL,3.51,5.0,150.0,139.51,3.31,794.51,-641.2
1775051838.990457,123,LOCAL,3.06,5.0,150.0,139.66,3.35,794.66,-641.31
1775051839.137218,124,LOCAL,2.33,5.0,150.0,139.58,3.29,794.58,-641.28
1775051839.2803452,126,LOCAL,2.92,5.0,150.0,139.78,3.1,794.78,-641.68
1775051839.4265049,127,LOCAL,3.1,5.0,150.0,140.08,3.06,795.08,-642.01
1775051839.572882,128,LOCAL,3.05,5.0,150.0,139.74,3.07,794.74,-641.66
1775051839.719774,129,LOCAL,3.1,5.0,150.0,139.37,3.07,794.37,-641.3
1775051839.867218,130,LOCAL,3.28,5.0,150.0,139.58,3.07,794.58,-641.51
1775051840.014393,131,LOCAL,3.29,5.0,150.0,139.89,3.11,794.89,-641.78
1775051840.163446,132,LOCAL,3.23,5.0,150.0,139.86,3.15,794.86,-641.71
1775051840.3103528,133,LOCAL,2.57,5.0,150.0,139.54,3.17,794.54,-641.37
1775051840.453433,135,LOCAL,2.72,5.0,150.0,139.82,3.05,794.82,-641.78
1775051840.5987442,136,LOCAL,3.15,5.0,150.0,139.54,2.98,794.54,-641.56
1775051840.746665,137,LOCAL,3.26,5.0,150.0,139.44,3.01,794.44,-641.42
1775051840.8948421,138,LOCAL,3.4,5.0,150.0,140.1,3.06,795.1,-642.04
1775051841.0428019,139,LOCAL,3.03,5.0,150.0,139.9,3.13,794.9,-641.77
1775051841.188907,140,LOCAL,3.1,5.0,150.0,139.8,3.11,794.8,-641.69
1775051841.335637,141,LOCAL,3.1,5.0,150.0,139.51,3.11,794.51,-641.4
1775051841.482363,142,LOCAL,2.61,5.0,150.0,139.66,3.11,794.66,-641.55
1775051841.625227,144,LOCAL,2.76,5.0,150.0,139.48,3.01,794.48,-641.47
1775051841.7702222,145,LOCAL,2.85,5.0,150.0,139.78,2.96,794.78,-641.82
1775051841.915134,146,LOCAL,3.22,5.0,150.0,140.08,2.94,795.08,-642.14
1775051842.0625348,147,LOCAL,2.59,5.0,150.0,139.74,2.99,794.74,-641.74
1775051842.2058072,148,LOCAL,3.05,5.0,150.0,139.37,2.91,794.37,-641.46
1775051842.352876,149,LOCAL,3.05,5.0,150.0,139.58,2.94,794.58,-641.64
1775051842.500471,150,LOCAL,3.3,5.0,150.0,139.89,2.96,794.89,-641.93
1775051842.6482072,151,LOCAL,2.92,5.0,150.0,139.86,3.03,794.86,-641.83
1775051842.7939148,153,LOCAL,2.77,5.0,150.0,140.11,3.01,795.11,-642.1
1775051842.9395368,154,LOCAL,3.07,5.0,150.0,139.82,2.96,794.82,-641.86
1775051843.094919,155,LOCAL,3.97,5.0,150.0,139.54,2.98,794.54,-641.56
1775051843.245942,156,LOCAL,2.45,5.0,150.0,139.44,3.18,794.44,-641.26
1775051843.3902621,157,LOCAL,2.56,5.0,150.0,140.1,3.03,795.1,-642.07
1775051843.534564,158,LOCAL,3.11,5.0,150.0,139.9,2.94,794.9,-641.97
1775051843.681814,159,LOCAL,3.03,5.0,150.0,139.8,2.97,794.8,-641.82
1775051843.8396502,161,LOCAL,2.93,5.0,150.0,139.66,2.98,794.66,-641.67
1775051843.984719,162,LOCAL,2.52,5.0,150.0,139.58,2.97,794.58,-641.6
1775051844.127796,163,LOCAL,2.94,5.0,150.0,139.48,2.88,794.48,-641.59
1775051844.2745779,164,LOCAL,3.07,5.0,150.0,139.78,2.9,794.78,-641.88
1775051848.01399,165,LOCAL,3.52,5.0,150.0,140.08,2.93,795.08,-642.15
1775051856.01762,167,LOCAL,5.61,5.0,150.0,139.37,3.05,794.37,-641.32
1775051864.0177028,169,LOCAL,5.1,5.0,150.0,139.89,3.56,794.89,-641.33
1775051872.0164611,171,LOCAL,5.27,5.0,150.0,139.54,3.87,794.54,-640.67
1775051880.015313,173,LOCAL,5.22,5.0,150.0,139.82,4.15,794.82,-640.67
1775051888.016959,175,LOCAL,5.12,5.0,150.0,139.44,4.36,794.44,-640.08
1775051896.0163252,177,LOCAL,5.25,5.0,150.0,139.9,4.51,794.9,-640.39
1775051904.014613,179,LOCAL,5.29,5.0,150.0,139.51,4.66,794.51,-639.85
1775051912.0160089,181,LOCAL,5.67,5.0,150.0,139.58,4.79,794.58,-639.79
1775051920.0172641,183,LOCAL,5.54,5.0,150.0,139.78,4.96,794.78,-639.81
1775051928.006818,185,LOCAL,4.39,5.0,150.0,139.74,5.08,794.74,-639.66
1775051935.9978938,187,LOCAL,3.33,5.0,150.0,139.58,4.94,794.58,-639.64
1775051944.016924,189,LOCAL,5.66,5.0,150.0,139.86,4.62,794.86,-640.24
1775051952.017046,191,LOCAL,5.75,5.0,150.0,140.11,4.83,795.11,-640.28
1775051960.01816,193,LOCAL,5.67,5.0,150.0,139.54,5.01,794.54,-639.53
1775051968.017536,195,LOCAL,5.22,5.0,150.0,140.1,5.14,795.1,-639.96
1775051976.021159,197,LOCAL,5.66,5.0,150.0,139.8,5.16,794.8,-639.64
1775051984.017243,199,LOCAL,5.71,5.0,150.0,139.66,5.26,794.66,-639.4
1775051992.017051,201,LOCAL,5.61,5.0,150.0,139.48,5.35,794.48,-639.13
1775052000.003259,203,LOCAL,4.98,5.0,150.0,140.08,5.4,795.08,-639.68
1775052008.017565,205,LOCAL,5.84,5.0,150.0,139.37,5.32,794.37,-639.05
1775052016.0168269,207,LOCAL,5.66,5.0,150.0,139.89,5.42,794.89,-639.47
1775052024.0173619,209,LOCAL,5.54,5.0,150.0,139.54,5.47,794.54,-639.07
1775052032.01703,211,LOCAL,5.17,5.0,150.0,139.82,5.48,794.82,-639.34
1775052040.0170429,213,LOCAL,5.66,5.0,150.0,139.44,5.42,794.44,-639.02
1775052048.0180328,215,LOCAL,5.86,5.0,150.0,139.9,5.47,794.9,-639.44
1775052056.016293,217,LOCAL,4.89,5.0,150.0,139.51,5.55,794.51,-638.96
1775052064.0171251,219,LOCAL,5.7,5.0,150.0,139.58,5.42,794.58,-639.16
1775052072.0173068,221,LOCAL,5.0,5.0,150.0,139.78,5.47,794.78,-639.3
1775052080.0163572,223,LOCAL,4.96,5.0,150.0,139.74,5.38,794.74,-639.36
1775052088.016999,225,LOCAL,5.23,5.0,150.0,139.58,5.29,794.58,-639.29
1775052096.0172842,227,LOCAL,5.57,5.0,150.0,139.86,5.28,794.86,-639.57
1775052104.017445,229,LOCAL,5.15,5.0,150.0,140.11,5.34,795.11,-639.77
1775052112.017449,231,LOCAL,5.53,5.0,150.0,139.54,5.3,794.54,-639.24
1775052120.0173812,233,LOCAL,5.37,5.0,150.0,140.1,5.35,795.1,-639.76
1775052128.017416,235,LOCAL,5.56,5.0,150.0,139.8,5.35,794.8,-639.45
1775052136.018184,237,LOCAL,5.73,5.0,150.0,139.66,5.39,794.66,-639.26
1775052144.015593,239,LOCAL,2.47,5.0,150.0,139.48,5.46,794.48,-639.02
1775052152.016833,241,LOCAL,5.2,5.0,150.0,140.08,4.86,795.08,-640.22
1775052159.998768,243,LOCAL,4.02,5.0,150.0,139.37,4.93,794.37,-639.44
1775052168.014554,245,LOCAL,3.02,5.0,150.0,139.89,4.75,794.89,-640.15
1775052175.997725,247,LOCAL,4.61,5.0,150.0,139.54,4.4,794.54,-640.13
1775052184.0175319,249,LOCAL,5.26,5.0,150.0,139.82,4.44,794.82,-640.38
1775052192.018355,251,LOCAL,5.61,5.0,150.0,139.44,4.61,794.44,-639.83
1775052200.0174432,253,LOCAL,5.21,5.0,150.0,139.9,4.81,794.9,-640.1
1775052211.985344,255,LOCAL,2.64,5.0,150.0,139.51,4.89,794.51,-639.62
